Liverpool.csv 	 Player 	 735 	 0.0
Liverpool.csv 	 Player 	 755 	 0.0
Liverpool.csv 	 Player 	 81 	 1.0
Liverpool.csv 	 Player 	 8853 	 0.0
ManchesterC.csv 	 Player 	 107 	 1.0
ManchesterC.csv 	 Player 	 113 	 1.0
ManchesterC.csv 	 Player 	 13 	 1.0
ManchesterC.csv 	 Player 	 1304 	 0.0
ManchesterC.csv 	 Player 	 13211 	 0.0
ManchesterC.csv 	 Player 	 135 	 1.0
ManchesterC.csv 	 Player 	 136 	 1.0
ManchesterC.csv 	 Player 	 13814 	 0.0
ManchesterC.csv 	 Player 	 14197 	 0.0
ManchesterC.csv 	 Player 	 14511 	 0.0
ManchesterC.csv 	 Player 	 15210 	 0.0
ManchesterC.csv 	 Player 	 156 	 0.0
ManchesterC.csv 	 Player 	 16403 	 0.0
ManchesterC.csv 	 Player 	 17451 	 0.0
ManchesterC.csv 	 Player 	 182 	 0.0
ManchesterC.csv 	 Player 	 23 	 1.0
ManchesterC.csv 	 Player 	 2903 	 0.0
ManchesterC.csv 	 Player 	 352 	 0.0
ManchesterC.csv 	 Player 	 4 	 1.0
ManchesterC.csv 	 Player 	 4652 	 0.0
ManchesterC.csv 	 Player 	 514 	 0.0
ManchesterC.csv 	 Player 	 55 	 0.0
ManchesterC.csv 	 Player 	 56 	 0.0
ManchesterC.csv 	 Player 	 57 	 1.0
ManchesterC.csv 	 Player 	 60 	 1.0
ManchesterC.csv 	 Player 	 6316 	 0.0
ManchesterC.csv 	 Player 	 645 	 0.0
ManchesterC.csv 	 Player 	 6559 	 0.0
ManchesterC.csv 	 Player 	 75 	 1.0
ManchesterC.csv 	 Player 	 84 	 0.0
ManchesterC.csv 	 Player 	 871 	 0.0
ManchesterC.csv 	 Player 	 89 	 1.0
ManchesterC.csv 	 Player 	 8966 	 0.0
ManchesterUnited.csv 	 Player 	 10087 	 0.0
ManchesterUnited.csv 	 Player 	 10457 	 0.0
